gene,pval,qval,log2fc,mean,zero_mean,zero_variance,FDR
A2M,0.17293466931756118,0.3909457872645125,0.4699080422491542,242.19918302210365,False,False,
NAT2,0.1277740834041612,0.3369065228900074,0.6201107474210205,11.722905042694837,False,False,
ACADM,0.006679034800565386,0.09625760099420938,-0.47949193369111254,106.83410235149104,False,False,
ACADS,0.4831380485030482,0.670664703925939,0.11709279966375094,44.97308693862543,False,False,
ACAT1,0.00014621425152751765,0.022804466822986733,-0.7935756299484683,256.5034514636528,False,False,
ACVRL1,0.03837695921032814,0.19613706117936103,1.002459820249442,11.300005191709937,False,False,
PSEN1,0.38968372437824605,0.5925375481420452,0.39239025789590665,17.32221363811958,False,False,
ADA,0.17827665022231032,0.3992459808580432,0.5972351174184332,11.383746891486934,False,False,
SGCA,0.03311987341925164,0.1817796599895092,0.9412623234440474,27.15182741676889,False,False,
ADRB2,0.7394909083706656,0.8534465703643941,0.11269758509092496,9.509571633687834,False,False,
ADRB3,0.04985107525241966,0.2196980816440449,0.7424026416314952,11.423581844422875,False,False,
AGL,0.23370142431836238,0.45639229766077477,0.29572647892736953,14.951048432326896,False,False,
AGXT,0.2719054513317931,0.48963555393116875,-0.47845281343652535,19.02532698468464,False,False,
ABCD1,0.8631000282658933,0.9251082876860701,0.00020869893529505443,10.548233590474942,False,False,
ALDOB,0.6816786816816041,0.8158157405168579,0.12458603812369926,2468.6506288109754,False,False,
AMPD1,0.12127972624843546,0.32829810016319727,0.5219300966245823,11.421700175215559,False,False,
APC,0.5126984076722468,0.696897425470762,0.13070523861027453,9.128913763092784,False,False,
APOA1,0.019078117604650197,0.1454041490200148,0.8783885322960616,11.557471891728841,False,False,
APOC3,0.028777790534625595,0.17330599975903427,0.8365351912530141,18.495380006185393,False,False,
APOE,0.1568457460262335,0.3729443294401552,-0.4922623136687149,404.53753215510665,False,False,
APOH,0.38904241719600896,0.5925375481420452,0.6051016400533168,11.546551239199754,False,False,
ARG1,0.10348844767145202,0.3047890896349647,0.7933029272000146,13.410461100136361,False,False,
ARSB,0.8633721156613767,0.9251082876860701,-0.08527908966179268,13.796920590284394,False,False,
ASL,0.40451860425691677,0.605166671496041,-0.17637025079162427,40.39602214534108,False,False,
ASPA,0.36125999554501764,0.570550841672574,0.23679065731706905,23.38514109355647,False,False,
ASS1,0.2958931880403344,0.5136891078855121,-0.3957217689813566,272.094812160585,False,False,
ATM,0.1488850565676084,0.3642227296364994,0.49099879545707714,10.934601272024759,False,False,
ATP7A,0.8013379427227227,0.8891466618784736,-0.09680479745304241,11.628405594244235,False,False,
ATP7B,0.06919572663196369,0.2538939706602542,0.7608344840810111,12.470161391467581,False,False,
AVPR2,0.6210792451998101,0.7778183503220414,0.29673292989123573,9.316837403832412,False,False,
BLM,0.04459372581983917,0.20995214376779742,0.9916802035141677,12.845181232545434,False,False,
BRCA2,0.2826581091847804,0.5019412716657444,0.4256499154315807,12.281148026629193,False,False,
BTD,0.7490739733174319,0.8620533644906213,0.2888889147456846,9.005535660720453,False,False,
BTK,0.9051276064812739,0.9495829277309359,-0.08300696258228671,11.068586419268351,False,False,
SERPING1,0.03777108556665158,0.1942135906089009,0.4876104132584425,382.73344681902626,False,False,
C2,0.025344754914614444,0.16269440859733666,0.6290868240924723,22.175308971870237,False,False,
C3,6.985146578592698e-07,0.004285154587747334,1.9109652957897325,251.0084502057331,False,False,
C6,0.3608413281663243,0.570550841672574,0.29688388075294164,17.622913942104432,False,False,
C8B,0.05786457896411542,0.23441331966884882,0.8369680442589595,9.414902977827118,False,False,
CA2,0.062093452178120574,0.2405827145023434,-0.46215893380079054,99.43124091915968,False,False,
CACNA1S,0.14094499475197328,0.3545831817318838,0.6810385536385809,11.750850910093726,False,False,
CBS,0.11480871480542464,0.3196067002776702,0.6018474095631078,18.687742628702303,False,False,
CD36,0.001052300605782781,0.04859125749168199,1.2088482591162009,13.052530730642923,False,False,
CD3G,0.0038975148032221706,0.07873749993249267,1.2120102960659633,10.612805668900652,False,False,
CD40LG,0.03531656137468173,0.1887562012296614,0.9140980827795075,12.7181339729123,False,False,
CDK4,0.7202517008933187,0.8408897498764142,-0.010101554785110527,16.151154680949887,False,False,
CDKN1C,0.6432933289838867,0.7902263000012982,0.01992967875053524,71.47274947747951,False,False,
CETP,0.12069481058935838,0.32829810016319727,0.5992606297845879,9.85402832961664,False,False,
CHRNE,0.0719845001434014,0.2590541143213061,0.9332264816684012,13.783219477025474,False,False,
LYST,0.2119112103931351,0.4342999906542604,0.42308770772777904,9.349398636236423,False,False,
ERCC8,0.0351169341099632,0.1887562012296614,0.9405385316207273,11.101045247985095,False,False,
