gene,pval,qval,log2fc,mean,zero_mean,zero_variance,FDR
A2M,2.612199000742069e-07,4.017748803884496e-06,-0.44229189128714436,721.6870981510854,False,False,4.017748803884496e-06
NAT2,0.13462299967192048,0.2050653958120972,0.16978446610716658,36.57666957778419,False,False,0.2050653958120972
ACADM,0.0003877797825681009,0.0019444686495548975,-0.2571565943979464,58.605378067733454,False,False,0.0019444686495548975
ACADS,0.0002686409238546731,0.0014559645618286517,0.293500233077422,60.73849845732619,False,False,0.0014559645618286517
ACAT1,8.178659262551276e-09,1.8522611056913864e-07,-0.43627992944253124,69.75274143603023,False,False,1.8522611056913864e-07
ACVRL1,6.368922799467572e-09,1.4860552151141045e-07,-0.42809541918427946,89.28970982084338,False,False,1.4860552151141045e-07
PSEN1,0.06192883239057066,0.11023314690687175,0.13689416081665215,64.7201862719235,False,False,0.11023314690687175
ADA,0.0003068969335395915,0.0016219691406121285,0.3416050166837061,41.41415789303363,False,False,0.0016219691406121285
SGCA,2.0990784579982245e-15,2.271301094055038e-13,0.7888078076634741,63.63255996192062,False,False,2.271301094055038e-13
ADRB2,0.004547340253137345,0.013685659841216703,0.23143031128704722,37.2059315675057,False,False,0.013685659841216703
ADRB3,0.044217798651356055,0.08387963178655332,0.20538025731269977,28.91781352510388,False,False,0.08387963178655332
AGL,0.14912812616952106,0.2231740975344734,0.11966870612609865,35.711053630649644,False,False,0.2231740975344734
AGXT,4.2421741038787354e-07,6.1131579006283675e-06,0.5273842588212462,39.23226956873132,False,False,6.1131579006283675e-06
ABCD1,0.49033196056299455,0.5769179871739214,0.04855224244967292,41.44929143406401,False,False,0.5769179871739214
ALDOB,5.095840140294301e-15,5.124365767166601e-13,-1.693409664806748,293.3306397303639,False,False,5.124365767166601e-13
AMPD1,0.0038406025536458646,0.011959385568850461,0.21039454639662233,34.86881686217033,False,False,0.011959385568850461
APC,0.12031801396287443,0.1873469841248057,-0.10511571855422654,49.57652554095991,False,False,0.1873469841248057
APOA1,0.0062516101631389116,0.01762241664359526,0.2752362084289669,40.82429806498073,False,False,0.01762241664359526
APOC3,1.697631628405813e-07,2.700883750678655e-06,0.4377097444901847,58.7114663348102,False,False,2.700883750678655e-06
APOE,2.612199000742069e-07,4.017748803884496e-06,-0.45982969470972074,108.55446619635461,False,False,4.017748803884496e-06
APOH,0.46661606928315713,0.5548356230284851,0.11031953559403136,32.03786542751645,False,False,0.5548356230284851
ARG1,0.005562769236458032,0.016117744939270744,0.282952112159477,46.68350895619233,False,False,0.016117744939270744
ARSB,0.5122183460445578,0.5972007597266827,0.08342335383176201,47.28689239809177,False,False,0.5972007597266827
ASL,0.1316615037104583,0.20156650696298278,0.1170508951701031,58.10156365208978,False,False,0.20156650696298278
ASPA,0.8409888341167993,0.8785961491538105,0.01709380638493372,40.015012165043984,False,False,0.8785961491538105
ASS1,0.0077752805662748255,0.021014609453371764,-0.2316031432725569,163.34796695581218,False,False,0.021014609453371764
ATM,0.5729777848249622,0.6530217402289052,-0.030289178808536314,69.48800515808516,False,False,0.6530217402289052
ATP7A,0.39516722302918594,0.4866084871362324,0.07010884011336249,43.38444626571348,False,False,0.4866084871362324
ATP7B,0.004439643598810522,0.013433642765133457,0.29786989352711046,40.377448344390665,False,False,0.013433642765133457
AVPR2,0.478393710126928,0.565388274046918,0.10517376524680656,33.247811029421406,False,False,0.565388274046918
BLM,0.00015124379867769228,0.0009053587858082627,0.3506744046210487,40.16568919956284,False,False,0.0009053587858082627
BRCA2,0.10475471362938416,0.16772901231260773,0.1505839557939315,44.094516037294525,False,False,0.16772901231260773
BTD,0.499996708244013,0.5862019447876677,-0.05549463538302374,57.114891231460064,False,False,0.5862019447876677
BTK,0.1438168195983834,0.21657382705533393,0.11382386447477963,38.740224262211946,False,False,0.21657382705533393
SERPING1,0.22209753962249024,0.30750305115496385,-0.01216216008608536,372.6150910038276,False,False,0.30750305115496385
C2,0.08240972920843917,0.1384947520021571,0.2033455389043686,34.337527972739814,False,False,0.1384947520021571
C3,1.735840730007787e-09,4.68196224888252e-08,0.8405992903200551,110.29008442923526,False,False,4.68196224888252e-08
C6,0.5371210089088323,0.6210692430846222,0.1060015918633375,43.127129625154026,False,False,0.6210692430846222
C8B,0.2192170976729032,0.30438045611899506,0.138836343381509,38.226588665238964,False,False,0.30438045611899506
CA2,0.00022455464095874088,0.0012567860017119125,-0.29310387224562706,92.29335928283282,False,False,0.0012567860017119125
CACNA1S,0.010171042430969248,0.02581547299042853,0.2439671915274796,39.519319649510734,False,False,0.02581547299042853
CBS,0.00011621129941470259,0.0007384126624554403,0.2680613254081649,63.43946715489329,False,False,0.0007384126624554403
CD36,6.215441927608597e-06,6.253633604488411e-05,0.39182575928159324,43.159208950580364,False,False,6.253633604488411e-05
CD3G,0.005967351887437003,0.01700506883924948,0.3131069375090833,34.83270803873971,False,False,0.01700506883924948
CD40LG,0.4879315664948153,0.5746418289640104,0.08174510788300314,35.763065082114814,False,False,0.5746418289640104
CDK4,0.6534126343472153,0.7231349945168087,0.00185165569354965,71.78923720801436,False,False,0.7231349945168087
CDKN1C,1.046304258358459e-23,2.4199709615508208e-20,-1.550622032138412,574.1692494642015,False,False,2.4199709615508208e-20
CETP,0.001465638560635501,0.005588085805563687,0.31575516156118866,40.55726149898247,False,False,0.005588085805563687
CHRNE,0.08308665577239394,0.13932865613164808,0.17739429327069134,46.56445581320948,False,False,0.13932865613164808
LYST,0.05530367552475351,0.10040069743274276,0.1593643767358256,66.1950226854158,False,False,0.10040069743274276
ERCC8,0.0619290689129834,0.11023314690687175,0.14136176529071465,42.03257282948334,False,False,0.11023314690687175
CLCN1,0.01185408865297856,0.029225343417196844,0.358950959963359,33.57914554672753,False,False,0.029225343417196844
CLCN5,0.6342333451932437,0.7066004086049247,-0.024670980242330852,36.00215090041193,False,False,0.7066004086049247
CLN3,0.04927986885768502,0.09157631952131626,0.17581299414673238,51.246270147746046,False,False,0.09157631952131626
CNGA1,0.13363016572792472,0.20392238816196215,0.11342029351641188,40.60389005417792,False,False,0.20392238816196215
COL1A1,6.515850052754367e-09,1.5184228403792703e-07,0.6110920969732414,44.17102685710728,False,False,1.5184228403792703e-07
COL1A2,5.217681548591604e-08,9.606244944635867e-07,0.44688127877887324,125.05865171291684,False,False,9.606244944635867e-07
COL4A3,0.0007245480792646059,0.00319654580606414,-0.23256603284225236,204.3541549580209,False,False,0.00319654580606414
COL5A1,0.050169111977734354,0.09285576462178842,0.22943032522482704,45.808683228972775,False,False,0.09285576462178842
COMP,0.0002767343975963117,0.001493268171106607,0.37877767296879333,38.768403226097156,False,False,0.001493268171106607
CP,3.1184668433637216e-09,7.850475102416181e-08,0.6438653810912183,50.64307063057918,False,False,7.850475102416181e-08
CPOX,0.09837173900441208,0.1595243020857701,0.18688501379408856,33.72152994143083,False,False,0.1595243020857701
CPT2,0.0012332380184364021,0.004892496366880092,0.2620513742239375,49.60689393625964,False,False,0.004892496366880092
CST3,0.07715386275281985,0.13145284737711102,0.08154713275002819,183.18959055650953,False,False,0.13145284737711102
CSTB,0.00033029732552685803,0.0017196092893144216,-0.26548586546706876,174.5656227265428,False,False,0.0017196092893144216
CYP17A1,0.010059394270615293,0.025591773984489866,0.24615813565868117,42.797152935258495,False,False,0.025591773984489866
CYP19A1,0.00016837734616251374,0.0009912594824819597,0.2985147201702687,34.870326509411704,False,False,0.0009912594824819597
CYP1B1,9.799547471895945e-09,2.1819618155534376e-07,-0.4344098461936882,107.92473069773425,False,False,2.1819618155534376e-07
CYP2D6,2.4125033641035853e-09,6.287119682536429e-08,0.5037403752168303,50.04432424762905,False,False,6.287119682536429e-08
DDB2,8.89217282692516e-06,8.498547201270467e-05,0.3758302183561175,43.35018669998885,False,False,8.498547201270467e-05
DLD,3.9150480928194546e-07,5.726492874422006e-06,-0.3995113783943871,59.252726766087065,False,False,5.726492874422006e-06
SLC26A3,0.1131909492737813,0.17838106927968447,0.1694023927081134,32.1914545609647,False,False,0.17838106927968447
SLC26A2,0.18545319863962206,0.26645756595969305,-0.02006803612912915,45.68097914625334,False,False,0.26645756595969305
TOR1A,0.2735779572722583,0.364199794475041,0.11225822208317675,48.80292651797301,False,False,0.364199794475041
EDN3,0.0037027987469065516,0.011624174620633174,0.2847961156718611,31.77834363591751,False,False,0.011624174620633174
EMD,0.053388053045193236,0.09764150889544435,-0.1319671113067535,77.1745839983025,False,False,0.09764150889544435
EPB42,0.0031172678284545944,0.010087234457834096,0.2572109554179063,49.766312055139736,False,False,0.010087234457834096
EPHX1,4.089195775359273e-05,0.0003107284986918794,-0.22764076684292872,102.29779764469839,False,False,0.0003107284986918794
EPOR,0.0007046572708190767,0.003133447123760004,0.3545406048822066,44.08913257778091,False,False,0.003133447123760004
ERCC5,0.7208594862048567,0.7797756839081241,0.024133759087993697,57.958056635504605,False,False,0.7797756839081241
ESR1,0.05061875342318714,0.09340767872636198,0.2282405207703291,37.021758034725316,False,False,0.09340767872636198
EXT1,0.8350167449277269,0.8736395154875732,0.05513711439661352,56.32642758772677,False,False,0.8736395154875732
F11,0.0013359175426384152,0.005198418988735772,0.30516612647486074,30.408919161598156,False,False,0.005198418988735772
F13A1,0.036073914538476415,0.07124299719344958,0.19280025088273023,37.762776317212406,False,False,0.07124299719344958
F5,3.337811497900523e-06,3.67835176567322e-05,-0.43930017936957966,53.323051939074624,False,False,3.67835176567322e-05
F9,0.6479087087749409,0.7186341468926226,0.09358634405359019,29.05579053635565,False,False,0.7186341468926226
FABP2,0.1971351832497611,0.2798521018620784,0.2121636984976396,30.86502177603293,False,False,0.2798521018620784
FANCA,0.07909187184966285,0.1340143685745707,0.17226545044964525,31.695851396394254,False,False,0.1340143685745707
FAH,2.6487080819086933e-05,0.00021466949469801382,-0.27969075703887475,55.0943037199494,False,False,0.00021466949469801382
MS4A2,0.18167487761121692,0.26202647050452443,0.2103741752723003,30.898875268513727,False,False,0.26202647050452443
FECH,0.7323325742107029,0.789831523701366,0.0016418678027928805,56.52076099062926,False,False,0.789831523701366
FGFR2,0.45731099852961865,0.5462284814275085,-0.10086862337380784,33.206221407691906,False,False,0.5462284814275085
FH,0.009307948888894904,0.02412790393544724,-0.12773213356674223,62.02362273043434,False,False,0.02412790393544724
FSHR,0.026528842293454268,0.05592607598903775,0.2544943856797638,36.03646663691374,False,False,0.05592607598903775
FUCA1,0.5320922113931352,0.6162943466295575,0.047652185240635664,55.1094934092272,False,False,0.6162943466295575
FUT1,0.4504011295373752,0.5398569734942057,0.06543311989363597,40.511440891547494,False,False,0.5398569734942057
FUT6,0.039970194873874515,0.0773445425383079,0.23802340516923248,36.1049903255181,False,False,0.0773445425383079
G6PC,0.6152965949164244,0.690492048504282,-0.038054177554179565,35.72249249963953,False,False,0.690492048504282
GALC,0.025757678745742578,0.054605216525260646,-0.143680454652005,70.87290468151937,False,False,0.054605216525260646
GALK1,0.0002686409238546731,0.0014559645618286517,0.32526931222655947,44.52969058248021,False,False,0.0014559645618286517
GALT,0.09915220559846959,0.16059289742546243,-0.12851935787637037,74.4796838440351,False,False,0.16059289742546243
GBE1,0.10557519854703257,0.168765261228142,-0.0626000297566404,65.62523779133022,False,False,0.168765261228142
GCDH,0.00020515050243520209,0.0011661750373451747,0.27560746409406117,47.347090548316906,False,False,0.0011661750373451747
GCGR,0.00017897510366127214,0.001041703788312211,0.29490395927993596,43.70465021325438,False,False,0.001041703788312211
GCH1,0.4255770918956814,0.51585017565318,0.09912414992125045,48.61150485557198,False,False,0.51585017565318
GHR,2.4771678675984108e-06,2.8328205843123234e-05,-0.3497415785676714,56.369069323443725,False,False,2.8328205843123234e-05
GIPR,1.6034216809912177e-06,1.940360455420569e-05,0.4890063503769846,40.29781966241414,False,False,1.940360455420569e-05
GJA1,0.06086894402610272,0.1086806978013103,-0.007878509535336184,96.27359495226969,False,False,0.1086806978013103
GJB1,0.5196254173886465,0.604427553777716,0.04418980644049514,30.75422587810747,False,False,0.604427553777716
GK,0.13264300644088098,0.20276714707333282,-0.10459382543879205,62.57260823089805,False,False,0.20276714707333282
GLI3,0.16019928760948376,0.23656563596474686,0.12111290920441846,33.026834577522024,False,False,0.23656563596474686
GLDC,0.0019029859709334598,0.006819862370749915,0.29131840966269984,42.71272587616171,False,False,0.006819862370749915
GNAT1,0.0005471424227960963,0.002556509153786912,0.35521703377871494,31.90261781935724,False,False,0.002556509153786912
GP1BA,0.009102655250453852,0.023742096151557316,0.29418821007536383,39.746507785464296,False,False,0.023742096151557316
GP9,7.301361501327814e-09,1.6740655744618159e-07,0.611075848359025,47.643853795608415,False,False,1.6740655744618159e-07
GPI,0.7380918191186987,0.794699617640575,0.04200439356085181,95.04738811518521,False,False,0.794699617640575
GSN,0.40587394458656456,0.49678412361481805,-0.0024320609111877214,247.3716398917589,False,False,0.49678412361481805
GSS,0.2399500852498786,0.3274669145433326,0.1750977407037873,47.412714810979445,False,False,0.3274669145433326
MSH6,0.6534126343472153,0.7231349945168087,-0.019989977838839355,46.92274326606085,False,False,0.7231349945168087
GUCY2D,0.002306406403491145,0.00795886566277446,0.31045986715695745,31.72624288469353,False,False,0.00795886566277446
GUSB,0.27694090209273425,0.36780343894787987,0.09231675413312793,74.30707821429976,False,False,0.36780343894787987
HADHA,0.2871982373336237,0.3786269316269355,-0.033148992528253464,90.04077020427525,False,False,0.3786269316269355
HADHB,0.108908234582019,0.17297245188593113,-0.08462752977082351,66.31084488222263,False,False,0.17297245188593113
HBG2,0.00012562751839882282,0.0007845042095624093,0.3705339626538511,39.8699722802079,False,False,0.0007845042095624093
SERPIND1,8.753641969892936e-05,0.0005872684458626868,0.35398404205724415,38.503716155186595,False,False,0.0005872684458626868
HGD,0.6045884765756768,0.6811191294495706,-0.02470783966703156,46.193389738966154,False,False,0.6811191294495706
HK1,0.013345199232051248,0.03216022680263666,-0.15560375583011987,84.9086337505571,False,False,0.03216022680263666
HK2,0.1167117585382016,0.18279309871612867,0.23506397229301287,39.75670324235955,False,False,0.18279309871612867
HMGCL,0.12215356278232427,0.18967836288698775,-0.1460678405938341,49.787571414205054,False,False,0.18967836288698775
SHH,0.10152328606745924,0.1636026269035184,0.18086501993554913,30.59937411826729,False,False,0.1636026269035184
HPRT1,0.001606912521132377,0.005977624121132363,-0.22989601528765474,51.83409364431496,False,False,0.005977624121132363
HPS1,3.5941317976454786e-06,3.930391291479568e-05,0.3481844786564041,55.69237751288702,False,False,3.930391291479568e-05
HSD11B2,0.0009412964330474831,0.003940454276171398,-0.2981146108916282,53.5719446271858,False,False,0.003940454276171398
HSD17B3,4.226454362113795e-05,0.00031984492867972,0.4284877954716208,48.86413999211868,False,False,0.00031984492867972
HSD3B2,2.7201587167539254e-06,3.0689693131767e-05,0.4715949722033149,55.70716263943871,False,False,3.0689693131767e-05
SGSH,0.0001633036966131491,0.0009656918163521773,0.3023797898274551,55.39187046025423,False,False,0.0009656918163521773
HTN3,0.04884023016223504,0.09087799463916281,0.30687887368204575,27.919541851786157,False,False,0.09087799463916281
ICAM1,0.000980564374348741,0.004066199600756332,0.37918951470093964,90.10538113997286,False,False,0.004066199600756332
IDS,0.0007245480792646059,0.00319654580606414,-0.2059639098321967,84.4600731766464,False,False,0.00319654580606414
IDUA,0.03281755081248995,0.06611030404828541,0.15503626983610885,53.03311548937087,False,False,0.06611030404828541
CFI,0.0003877797825681009,0.0019444686495548975,0.3477211874300221,45.585036232967504,False,False,0.0019444686495548975
IL2RG,0.49515173750569097,0.5816272599712925,0.08947935521217017,37.32397258681739,False,False,0.5816272599712925
INS,0.057778429101080886,0.1041576650094797,0.17835519435045333,30.621314772023453,False,False,0.1041576650094797
INSR,0.030105328570908134,0.06175597500526754,-0.13766135632256118,91.31124775521707,False,False,0.06175597500526754
PDX1,6.328586413853064e-06,6.350207940104297e-05,0.41493887945251046,38.40937154885106,False,False,6.350207940104297e-05
ITGA6,0.0013182740412028878,0.005157966712703962,0.23865710959350558,63.04019400577417,False,False,0.005157966712703962
ITGB2,3.3935979468964975e-11,1.3922781111180909e-09,0.7847193476259885,60.29545342362167,False,False,1.3922781111180909e-09
JAG1,0.4435507916325572,0.5333043276091497,-0.07418497094781316,69.06880991890927,False,False,0.5333043276091497
JAK3,1.759128778237008e-05,0.0001526696049893028,0.40360040645068646,60.19283381724517,False,False,0.0001526696049893028
ANOS1,0.12307950832629637,0.19070006218066166,0.2516749965186114,30.3135316323914,False,False,0.19070006218066166
KCNA1,0.0023359054342426367,0.008039668573249907,0.3106871562910975,33.13741694200759,False,False,0.008039668573249907
KHK,0.05530367552475351,0.10040069743274276,0.21443458372144106,44.25976967011522,False,False,0.10040069743274276
KRT12,0.0016495152739511086,0.0060956622955696755,0.31578489825304257,55.37673379270822,False,False,0.0060956622955696755
KRT18,4.281316909385801e-11,1.7183775872964311e-09,0.5188354878366481,176.70736981078284,False,False,1.7183775872964311e-09
KRT9,0.0004952763975088861,0.0023661500601876886,0.3723113832627218,33.11708790823917,False,False,0.0023661500601876886
LAMA3,0.9497228934566292,0.9614138690025172,0.0312933924531606,40.88311826462714,False,False,0.9614138690025172
LAMB3,0.9679928642820793,0.9750011958525483,0.09987513555201111,26.89633281118918,False,False,0.9750011958525483
LCAT,0.877002018944959,0.9057866791257927,0.10237118292383877,49.37343971201237,False,False,0.9057866791257927
LEP,0.26365710030825396,0.3533058608780144,0.14253154889473404,34.430693530396326,False,False,0.3533058608780144
SGCG,0.023325497900878546,0.05038427360027501,0.22791728247358228,34.397884189682514,False,False,0.05038427360027501
