gene,pval,qval,log2fc,mean,zero_mean,zero_variance,FDR
A2M,0.0013033961134740863,0.038402449502565314,0.4949062644190005,91.50184612739376,False,False,0.038402449502565314
NAT2,0.05504087161728649,0.24013705435855978,0.1756189863013525,31.779589536713388,False,False,0.24013705435855978
ACADM,0.00020078698291716964,0.014801440417993585,-0.7628240475594505,97.83536994747999,False,False,0.014801440417993585
ACADS,0.5515673446241796,0.7467367072203991,-0.1487167385603481,73.7567361971227,False,False,0.7467367072203991
ACAT1,2.316935104346046e-06,0.004755042859729848,-1.0535595719160602,167.5200478158346,False,False,0.004755042859729848
ACVRL1,0.260729211005852,0.5090506058078801,0.09701653311296149,37.60490584954983,False,False,0.5090506058078801
PSEN1,0.6432933289838867,0.8086179664530472,0.11567349033865792,76.86338005996332,False,False,0.8086179664530472
ADA,0.8842802463955904,0.9437525176822755,0.14165206073946526,33.900256971033606,False,False,0.9437525176822755
SGCA,0.0008966913078097458,0.03136385494972349,0.6398700766751089,53.891152823843605,False,False,0.03136385494972349
ADRB2,0.009144974610076875,0.10248907644473193,0.4761482789373276,34.46948842304509,False,False,0.10248907644473193
ADRB3,0.05504087161728649,0.24013705435855978,0.4612605620618919,25.887047279171824,False,False,0.24013705435855978
AGL,0.5874826975965008,0.771209106323381,-0.10019101678087625,46.51798722802138,False,False,0.771209106323381
AGXT,0.46678061452897934,0.6872636039332939,0.12135806919123325,34.94788974668921,False,False,0.6872636039332939
ABCD1,0.07844568999998841,0.2803168408786762,0.26540212334977714,34.694692518652936,False,False,0.2803168408786762
ALDOB,0.8426765356863225,0.9227699556018243,0.30877363406987357,249.08062483624713,False,False,0.9227699556018243
AMPD1,0.004088979937147149,0.06749187848085077,0.5906597541351132,35.62009597406154,False,False,0.06749187848085077
APC,0.36125999554501764,0.6018722940365083,0.17112469406252673,41.66982334416087,False,False,0.6018722940365083
APOA1,0.23895815362175832,0.4882335155105338,0.13659585068785382,34.443958840719084,False,False,0.4882335155105338
APOC3,0.00024724325353093715,0.01657515188435844,0.5152135488028293,50.270111363108555,False,False,0.01657515188435844
APOE,0.016625625949665067,0.13813379297110587,-0.42924000278186797,69.36609072801544,False,False,0.13813379297110587
APOH,0.020585828215956562,0.1514511250416876,0.4873695912161764,32.127324313652224,False,False,0.1514511250416876
ARG1,0.00987649572419099,0.10630878440064333,0.47111022461009155,37.15244856113341,False,False,0.10630878440064333
ARSB,0.27211434718582883,0.5200838514594971,0.1316828728139566,35.745699068395105,False,False,0.5200838514594971
ASL,0.24967790631269726,0.49986910847260735,0.11939391198950505,79.05914678806212,False,False,0.49986910847260735
ASPA,0.016625625949665067,0.13813379297110587,-0.4037210766830062,47.70267858737852,False,False,0.13813379297110587
ASS1,0.14191804589421084,0.37496924220770855,0.22118286618996516,126.5874535165182,False,False,0.37496924220770855
ATM,0.5693898459625074,0.7593095726013891,0.15338862289063235,68.78826960121712,False,False,0.7593095726013891
ATP7A,0.4831380485030482,0.6987262241247382,0.286284020416395,44.209310299012714,False,False,0.6987262241247382
ATP7B,0.13487567747478818,0.3662466481238635,0.22939383189043075,39.06830848135599,False,False,0.3662466481238635
AVPR2,0.003454092636442788,0.06241316020712979,-0.5392833826719359,42.275268275563306,False,False,0.06241316020712979
BLM,0.1568457460262335,0.39361411077219566,0.3308806434383489,37.82936226449361,False,False,0.39361411077219566
BRCA2,0.017864187568058614,0.14216819895560798,0.342181796377273,35.33848548516995,False,False,0.14216819895560798
BTD,0.2838351887755598,0.532151433571201,0.09572462474842612,50.24543604036656,False,False,0.532151433571201
BTK,0.19933583146564782,0.44560962783724556,0.20488900960854192,31.295254265389794,False,False,0.44560962783724556
SERPING1,0.0022397175719615792,0.04980948826202536,0.5250897371376056,552.3547318621379,False,False,0.04980948826202536
C2,0.16474235681902172,0.40454251204012726,0.2159401656104686,31.21593466037657,False,False,0.40454251204012726
C3,3.0019655274323928e-06,0.004755042859729848,2.89210881280587,268.0393312965951,False,False,0.004755042859729848
C6,0.624443932080426,0.7953525211870396,-0.2116322347887914,42.127834040944165,False,False,0.7953525211870396
C8B,0.12160444190461399,0.34701526658869103,0.2271612316951034,32.544651217576934,False,False,0.34701526658869103
CA2,0.00020078698291716964,0.014801440417993585,-1.224247202146216,336.9286000321551,False,False,0.014801440417993585
CACNA1S,0.011497666376527875,0.11358319325408184,0.5130702112355222,31.453742608791444,False,False,0.11358319325408184
CBS,0.0006726997017804404,0.027598586656415718,0.6533651965442727,60.1171447009575,False,False,0.027598586656415718
CD36,0.10363888953138498,0.3198716218514122,0.32900084435112575,36.6395121318538,False,False,0.3198716218514122
CD3G,0.04027985378867424,0.20882547902825427,0.40643883891577,31.761170410528415,False,False,0.20882547902825427
