gene,pval,qval,log2fc,mean,zero_mean,zero_variance,FDR
A2M,0.16474235681902172,0.3882103703798216,0.3773031170441288,298.99421468595176,False,False,0.3882103703798216
NAT2,0.11536336176616839,0.3247479511272499,0.1728283620701056,38.916712877227035,False,False,0.3247479511272499
ACADM,0.007231853657777471,0.10340880079587059,-0.3970242838031344,129.75758026867376,False,False,0.10340880079587059
ACADS,0.5340234431347741,0.7152914266919593,0.06254323699359986,83.66770804800638,False,False,0.7152914266919593
ACAT1,0.00014621425152751765,0.02199514061799723,-0.7924780840209306,256.8898829018197,False,False,0.02199514061799723
ACVRL1,0.06589091634621466,0.2514290833479088,0.2500721220041732,43.16578609187428,False,False,0.2514290833479088
PSEN1,0.40451860425691677,0.6141128761540638,0.09268882206130298,70.88376263874332,False,False,0.6141128761540638
ADA,0.19933583146564782,0.42673966095208626,0.11553622098177688,38.07588530749809,False,False,0.42673966095208626
SGCA,0.03539649957392386,0.1950972390873736,0.3976015252489299,55.75769387221918,False,False,0.1950972390873736
ADRB2,0.7811202411741249,0.8790869060546703,-0.005792963161509797,34.92134671094941,False,False,0.8790869060546703
ADRB3,0.04866910562749915,0.22362166909004638,0.2825967570760978,29.767001361381716,False,False,0.22362166909004638
AGL,0.2285672846295076,0.4577530541725056,0.10214309345139103,41.7063018054497,False,False,0.4577530541725056
AGXT,0.24967790631269726,0.47804121487001633,-0.23047839683813684,44.92732210857112,False,False,0.47804121487001633
ABCD1,0.7408068333824819,0.8543473471750226,0.031125639650632635,39.905940823438684,False,False,0.8543473471750226
ALDOB,0.6816786816816041,0.8196712143978893,0.12453650490502624,2468.771716606326,False,False,0.8196712143978893
AMPD1,0.14923949164251477,0.3695634788358473,0.12159729843663598,38.2133051244224,False,False,0.3695634788358473
APC,0.7608823792547115,0.8679247064515089,-0.02635789594859099,45.372513375631186,False,False,0.8679247064515089
APOA1,0.017864187568058614,0.1461924204209591,0.22109014872754926,41.18181526370165,False,False,0.1461924204209591
APOC3,0.022077450400079766,0.16000746758820053,0.27584109893191777,54.37721950251881,False,False,0.16000746758820053
APOE,0.1568457460262335,0.3795105059138745,-0.49210995222534154,404.5842880621189,False,False,0.3795105059138745
APOH,0.33409801251245674,0.5539261223582426,0.1658596711503708,34.95495940417778,False,False,0.5539261223582426
ARG1,0.10363888953138498,0.30854873258233567,0.22070715063548563,44.729695203827646,False,False,0.30854873258233567
ARSB,0.8015074505848662,0.8909222851238603,-0.0073369960348868895,47.15460270207103,False,False,0.8909222851238603
ASL,0.4195998914812339,0.6257137969114499,-0.08211618139866905,84.33095438887433,False,False,0.6257137969114499
ASPA,0.3475102112275089,0.5653724996344498,0.10449963979591427,53.251212329399294,False,False,0.5653724996344498
ASS1,0.32102426893048774,0.5428047197314095,-0.3483454691472057,308.8946548089748,False,False,0.5428047197314095
ATM,0.16474235681902172,0.3882103703798216,0.07037159138809121,64.33032728986042,False,False,0.3882103703798216
ATP7A,0.7608823792547115,0.8679247064515089,-0.04073742042469253,40.65969308992712,False,False,0.8679247064515089
ATP7B,0.07844568999998841,0.2720166045857919,0.2035626632706011,43.07978029948909,False,False,0.2720166045857919
AVPR2,0.7608823792547115,0.8679247064515089,0.006626900407095441,35.21086111301329,False,False,0.8679247064515089
BLM,0.04027985378867424,0.2066827883116582,0.3054770757801245,40.011338210687406,False,False,0.2066827883116582
BRCA2,0.27211434718582883,0.49994357719982035,0.10252794837543358,41.791613602056735,False,False,0.49994357719982035
BTD,0.7011928886270138,0.8304001547789066,0.04725189225734109,51.743256080441355,False,False,0.8304001547789066
BTK,0.989443175779737,0.989443175779737,-0.03706148599392347,37.94248059900795,False,False,0.989443175779737
SERPING1,0.03777108556665158,0.20192961463153833,0.4207900358209347,441.3116849573647,False,False,0.20192961463153833
C2,0.025344754914614444,0.17009575632394308,0.3048692413992911,46.00645660772555,False,False,0.17009575632394308
C3,8.002217482154637e-07,0.004848198004143091,1.9065216856952505,251.39488536555592,False,False,0.004848198004143091
C6,0.3082893602150767,0.5327615608536065,0.109454687592266,48.69028398467273,False,False,0.5327615608536065
C8B,0.04866910562749915,0.22362166909004638,0.18013812433989146,37.63100824123475,False,False,0.22362166909004638
CA2,0.058478904758101795,0.2382812540716048,-0.3694988628777174,125.16720841570597,False,False,0.2382812540716048
CACNA1S,0.12160444190461399,0.3332415563627181,0.18874480231598686,38.147311419975466,False,False,0.3332415563627181
CBS,0.14191804589421084,0.3592215599426242,0.15856387092761426,62.33801399789205,False,False,0.3592215599426242
CD36,0.001713611846689513,0.059824452828860494,0.37878983279433587,40.827093729158726,False,False,0.059824452828860494
CD3G,0.005685944009974243,0.09385104550986031,0.3427111871669754,35.18400936591915,False,False,0.09385104550986031
CD40LG,0.05504087161728649,0.23294173090911527,0.2643848125345766,40.60501117241092,False,False,0.23294173090911527
CDK4,0.6623751309779664,0.8074797106657868,-0.007222320031862556,70.17367646752334,False,False,0.8074797106657868
