,id_cp_interaction,interacting_pair,partner_a,partner_b,gene_a,gene_b,secreted,receptor_a,receptor_b,annotation_strategy,is_integrin,Ascending vasa recta endothelium|Ascending vasa recta endothelium,Ascending vasa recta endothelium|CD4 T cell,Ascending vasa recta endothelium|Glomerular endothelium,Ascending vasa recta endothelium|Indistinct intercalated cell,Ascending vasa recta endothelium|MNP-a/classical monocyte derived,Ascending vasa recta endothelium|MNP-b/non-classical monocyte derived,Ascending vasa recta endothelium|Myofibroblast,Ascending vasa recta endothelium|Neutrophil,Ascending vasa recta endothelium|Podocyte,Ascending vasa recta endothelium|Proximal tubule,CD4 T cell|Ascending vasa recta endothelium,CD4 T cell|CD4 T cell,CD4 T cell|Glomerular endothelium,CD4 T cell|Indistinct intercalated cell,CD4 T cell|MNP-a/classical monocyte derived,CD4 T cell|MNP-b/non-classical monocyte derived,CD4 T cell|Myofibroblast,CD4 T cell|Neutrophil,CD4 T cell|Podocyte,CD4 T cell|Proximal tubule,Glomerular endothelium|Ascending vasa recta endothelium,Glomerular endothelium|CD4 T cell,Glomerular endothelium|Glomerular endothelium,Glomerular endothelium|Indistinct intercalated cell,Glomerular endothelium|MNP-a/classical monocyte derived,Glomerular endothelium|MNP-b/non-classical monocyte derived,Glomerular endothelium|Myofibroblast,Glomerular endothelium|Neutrophil,Glomerular endothelium|Podocyte,Glomerular endothelium|Proximal tubule,Indistinct intercalated cell|Ascending vasa recta endothelium,Indistinct intercalated cell|CD4 T cell,Indistinct intercalated cell|Glomerular endothelium,Indistinct intercalated cell|Indistinct intercalated cell,Indistinct intercalated cell|MNP-a/classical monocyte derived,Indistinct intercalated cell|MNP-b/non-classical monocyte derived,Indistinct intercalated cell|Myofibroblast,Indistinct intercalated cell|Neutrophil,Indistinct intercalated cell|Podocyte,Indistinct intercalated cell|Proximal tubule,MNP-a/classical monocyte derived|Ascending vasa recta endothelium,MNP-a/classical monocyte derived|CD4 T cell,MNP-a/classical monocyte derived|Glomerular endothelium,MNP-a/classical monocyte derived|Indistinct intercalated cell,MNP-a/classical monocyte derived|MNP-a/classical monocyte derived,MNP-a/classical monocyte derived|MNP-b/non-classical monocyte derived,MNP-a/classical monocyte derived|Myofibroblast,MNP-a/classical monocyte derived|Neutrophil,MNP-a/classical monocyte derived|Podocyte,MNP-a/classical monocyte derived|Proximal tubule,MNP-b/non-classical monocyte derived|Ascending vasa recta endothelium,MNP-b/non-classical monocyte derived|CD4 T cell,MNP-b/non-classical monocyte derived|Glomerular endothelium,MNP-b/non-classical monocyte derived|Indistinct intercalated cell,MNP-b/non-classical monocyte derived|MNP-a/classical monocyte derived,MNP-b/non-classical monocyte derived|MNP-b/non-classical monocyte derived,MNP-b/non-classical monocyte derived|Myofibroblast,MNP-b/non-classical monocyte derived|Neutrophil,MNP-b/non-classical monocyte derived|Podocyte,MNP-b/non-classical monocyte derived|Proximal tubule,Myofibroblast|Ascending vasa recta endothelium,Myofibroblast|CD4 T cell,Myofibroblast|Glomerular endothelium,Myofibroblast|Indistinct intercalated cell,Myofibroblast|MNP-a/classical monocyte derived,Myofibroblast|MNP-b/non-classical monocyte derived,Myofibroblast|Myofibroblast,Myofibroblast|Neutrophil,Myofibroblast|Podocyte,Myofibroblast|Proximal tubule,Neutrophil|Ascending vasa recta endothelium,Neutrophil|CD4 T cell,Neutrophil|Glomerular endothelium,Neutrophil|Indistinct intercalated cell,Neutrophil|MNP-a/classical monocyte derived,Neutrophil|MNP-b/non-classical monocyte derived,Neutrophil|Myofibroblast,Neutrophil|Neutrophil,Neutrophil|Podocyte,Neutrophil|Proximal tubule,Podocyte|Ascending vasa recta endothelium,Podocyte|CD4 T cell,Podocyte|Glomerular endothelium,Podocyte|Indistinct intercalated cell,Podocyte|MNP-a/classical monocyte derived,Podocyte|MNP-b/non-classical monocyte derived,Podocyte|Myofibroblast,Podocyte|Neutrophil,Podocyte|Podocyte,Podocyte|Proximal tubule,Proximal tubule|Ascending vasa recta endothelium,Proximal tubule|CD4 T cell,Proximal tubule|Glomerular endothelium,Proximal tubule|Indistinct intercalated cell,Proximal tubule|MNP-a/classical monocyte derived,Proximal tubule|MNP-b/non-classical monocyte derived,Proximal tubule|Myofibroblast,Proximal tubule|Neutrophil,Proximal tubule|Podocyte,Proximal tubule|Proximal tubule
0,CPI-SS0A7B487D4,KLRG2_WNT11,simple:A4D1S0,simple:O96014,['ENSG00000188883'],['ENSG00000085741'],True,True,False,InnateDB-All,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,CPI-SS0FEC87269,KLRG2_TNFSF9,simple:A4D1S0,simple:P41273,['ENSG00000188883'],['ENSG00000125657'],True,True,False,InnateDB-All,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,CPI-SS028784FC6,HLA-DPA1_TNFSF9,simple:HLADPA1,simple:P41273,['ENSG00000231389'],['ENSG00000125657'],True,True,False,InnateDB-All,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,CPI-SS00A8596B5,PVR_TNFSF9,simple:P15151,simple:P41273,['ENSG00000073008'],['ENSG00000125657'],True,True,False,InnateDB-All,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,CPI-SS044DF8749,KLRG2_WNT5B,simple:A4D1S0,simple:Q9H1J7,['ENSG00000188883'],['ENSG00000111186'],True,True,False,InnateDB-All,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,CPI-SS072B19293,HLA-DPA1_GAL,simple:HLADPA1,simple:P22466,['ENSG00000231389'],['ENSG00000069482'],True,True,False,InnateDB-All,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,CPI-SS0F8ABC300,GALR2_GAL,simple:O43603,simple:P22466,['ENSG00000182687'],['ENSG00000069482'],True,True,False,guidetopharmacology.org,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,CPI-SS0E70DD97F,GALR3_GAL,simple:O60755,simple:P22466,['ENSG00000128310'],['ENSG00000069482'],True,True,False,guidetopharmacology.org,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,CPI-SS0B84DAE3D,PVR_CD96,simple:P15151,simple:P40200,['ENSG00000073008'],['ENSG00000153283'],True,True,True,curated,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,CPI-SS0A8627ED6,PVR_CD226,simple:P15151,simple:Q15762,['ENSG00000073008'],['ENSG00000150637'],True,True,True,curated,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
